Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
Thermal Grizzly Kryonaut Extreme 2g,thermalgrizzlykryonautextreme2g,,,,7000.0,In Stock,https://www.nanotek.lk/product/thermal-grizzly-kryonaut-extreme-2g,,,
GAMDIAS AEOLUS P2-1203U ARGB 3 FAN KIT WITH CONTROLLER,gamdiasaeolusp21203uargb3fankitcontroller,,,,25000.0,Out of Stock,https://www.nanotek.lk/product/gamdias-aeolus-p2-1203u-argb-3-fan-kit-with-controller,,,
CORSAIR H55 RGB 120mm Liquid CPU Cooler,corsairh55rgb120mmliquid,26500.0,Out of Stock,https://computerzone.lk/product/corsair-h55-rgb-120mm-liquid-cpu-cooler/,24000.0,Out of Stock,https://www.nanotek.lk/product/corsair-h55-rgb-120mm-liquid-cpu-cooler,,,
Corsair iCUE H100i ELITE CAPELLIX XT Liquid CPU Cooler,corsairicueh100ielitecapellixxtliquid,,,,67000.0,Out of Stock,https://www.nanotek.lk/product/corsair-icue-h100i-elite-capellix-xt-liquid-cpu-cooler,,,
Corsair TM30 Performance Thermal Paste,corsairtm30performancethermalpaste,,,,5500.0,Out of Stock,https://www.nanotek.lk/product/corsair-tm30-performance-thermal-paste,,,
RAIDMAX AM1204 DIGITAL CPU AIR COOLER,raidmaxam1204digitalair,,,,10500.0,Out of Stock,https://www.nanotek.lk/product/raidmax-am1204-digital-cpu-air-cooler,,,
Cooler Master Hyper 620S ARGB,masterhyper620sargb,,,,19000.0,Out of Stock,https://www.nanotek.lk/product/cooler-master-hyper-620s-argb,,,
ASUS ROG STRIX LC III 360 ARGB,asusrogstrixlciii360argb,,,,99000.0,Out of Stock,https://www.nanotek.lk/product/asus-rog-strix-lc-iii-360-argb,,,
ANTEC P12 PWM-3 Pack 120MM CASING FAN BLACK,antecp12pwm3120mmcasingfanblack,,,,7500.0,In stock,https://www.nanotek.lk/product/antec-p12-pwm-3-pack-120mm-casing-fan-black,,,
Antec FrigusAir 400 ARGB 120mm CPU Air Cooler,antecfrigusair400argb120mmair,,,,14500.0,Out of Stock,https://www.nanotek.lk/product/antec-frigusair-400-argb-120mm-cpu-air-cooler,,,
ANTEC SYMPHONY 240 ARGB LGA 1700 & AM5 Supported,antecsymphony240argblga1700am5supported,,,,20500.0,out of stock,https://www.nanotek.lk/product/antec-symphony-240-argb-lga-1700-am5-supported,,,
ANTEC SYMPHONY 360 ARGB  BLACK AND WHITE LGA 1700 & AM5 Supported,antecsymphony360argbblackandwhitelga1700am5supported,,,,26000.0,Out of Stock,https://www.nanotek.lk/product/antec-symphony-360-argb-black-and-white-lga-1700-am5-supported,,,
Antec A400 RGB Cpu Cooler,anteca400rgb,,,,11500.0,Out of Stock,https://www.nanotek.lk/product/antec-a400-rgb-cpu-cooler,,,
CORSAIR RS120 ARGB TRIPLE KIT White / Black,corsairrs120argbtriplekitwhiteblack,,,,13000.0,In Stock,https://www.nanotek.lk/product/corsair-rs120-argb-triple-kit-white-black,,,
MSI MAG CORELIQUID E240,msimagliquide240,,,,37000.0,In Stock,https://www.nanotek.lk/product/msi-mag-coreliquid-e240,,,
Noctua NH-U9S Chromax.Black Quiet Air Cooler,noctuanhu9schromaxblackquietair,,,,24000.0,Out of Stock,https://www.nanotek.lk/product/noctua-nh-u9s-chromaxblack-quiet-air-cooler,,,
Noctua NF-A14 140MM IndustrialPPC  IP67 Water and Dustproof Fan,noctuanfa14140mmindustrialppcip67wateranddustprooffan,,,,12500.0,Out of Stock,https://www.nanotek.lk/product/noctua-nf-a14-140mm-industrialppc-ip67-water-and-dustproof-fan,,,
