Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
FANTECH GROOVE BAR PRO BS151 BLUETOOTH SPEAKER,fantechgroovebarprobs151bluetoothspeaker,,,,9000.0,In Stock,https://www.nanotek.lk/product/fantech-groove-bar-pro-bs151-bluetooth-speaker,,,,,,
FANTECH BEAT BAR GS305 BLUETOOTH SPEAKER,fantechbeatbargs305bluetoothspeaker,,,,7000.0,In Stock,https://www.nanotek.lk/product/fantech-beat-bar-gs305-bluetooth-speaker,,,,,,
FANTECH HG11 CAPTAIN 7.1 SURROUND SOUND,fantechhg11captain71surroundsound,,,,8500.0,In Stock,https://www.nanotek.lk/product/fantech-hg11-captain-71-surround-sound,,,,,,
Fantech ALTO MH91 Gaming Headset,fantechaltomh91headset,,,,7000.0,In Stock,https://www.nanotek.lk/product/fantech-alto-mh91-gaming-headset,8380.0,In Stock,https://pcbuilders.lk/fantech-alto-mh91-gaming-headset/,,,
FANTECH WH03 GO MOVE Bluetooth 5.0 Wireless Headphone Dual Connection,fantechwh03gomovebluetooth50wirelessheadphonedualconnection,,,,7500.0,In stock,https://www.nanotek.lk/product/fantech-wh03-go-move-bluetooth-50-wireless-headphone-dual-connection,,,,,,
ONIKUMA ST-2 Headset stand,onikumast2headsetstand,,,,6500.0,In stock,https://www.nanotek.lk/product/onikuma-st-2-headset-stand,,,,,,
ONIKUMA T18 TWS Earbuds,onikumat18twsearbuds,,,,6500.0,In stock,https://www.nanotek.lk/product/onikuma-t18-tws-earbuds,,,,,,
ONIKUMA T20 In Ear TWS,onikumat20ineartws,,,,6000.0,Out of Stock,https://www.nanotek.lk/product/onikuma-t20-in-ear-tws,,,,,,
ONIKUMA X15 Pro Headset,onikumax15proheadset,,,,6000.0,In stock,https://www.nanotek.lk/product/onikuma-x15-pro-headset,7000.0,In Stock,https://pcbuilders.lk/onikuma-x15/,,,
ONIKUMA T5 In Ear Wireless Earbuds,onikumat5inearwirelessearbuds,,,,6500.0,In stock,https://www.nanotek.lk/product/onikuma-t5-in-ear-wireless-earbuds,,,,,,
ONIKUMA L7 Wireless Mini Bluetooth Speaker,onikumal7wirelessminibluetoothspeaker,,,,7300.0,In stock,https://www.nanotek.lk/product/onikuma-l7-wireless-mini-bluetooth-speaker,,,,,,
Anker Space One Pro Over-Ear Headphones,ankerspaceoneprooverearheadphones,,,,35000.0,In Stock,https://www.nanotek.lk/product/anker-space-one-pro-over-ear-headphones,,,,,,
SteelSeries Arctis NOVA 3 Gaming Headset,steelarctisnova3headset,,,,36500.0,In Stock,https://www.nanotek.lk/product/steelseries-arctis-nova-3-gaming-headset,,,,,,
FANTECH CARBON MH92 HEADSET,fantechcarbonmh92headset,,,,6500.0,In stock,https://www.nanotek.lk/product/fantech-carbon-mh92-headset,,,,,,
FANTECH HQ55 PORTAL 3.5MM HEADSET,fantechhq55portal35mmheadset,,,,4500.0,In Stock,https://www.nanotek.lk/product/fantech-hq55-portal-35mm-headset,,,,,,
